Product_ID,Product,Category_ID,Category
2760,國際黑1號池,40301,一般電池
2761,國際黑2號池,40301,一般電池
2762,國際黑3號池,40301,一般電池
2766,勁量鹼性電池1號2入,40302,鹼性電池
2772,勁量鹼性電池9V1入,40302,鹼性電池
2781,國際黑4號池,40301,一般電池
2787,勁量鹼性電池3號2入,40302,鹼性電池
2800,勁量鹼性電池4號4入,40302,鹼性電池
2802,永備黑金鋼電池3號20入,40301,一般電池
2805,勁量鹼性電池12V1入(A23),40302,鹼性電池
2808,國際鹼性電池3號(量販包),40302,鹼性電池
2809,國際鹼性電池4號(量販包),40302,鹼性電池
2810,國際牌黑9V電池,40301,一般電池
2811,國際鹼性電池1號2入,40302,鹼性電池
2812,國際鹼性電池2號2入,40302,鹼性電池
2813,國際鹼性電池3號4入,40302,鹼性電池
2814,國際鹼性電池4號4入,40302,鹼性電池
2815,國際鹼性電池5號2入,40302,鹼性電池
2816,國際鹼性電池9V1入,40302,鹼性電池
2834,永備黑金剛電池4號20入,40301,一般電池
2836,國際鹼性電池3號2入,40302,鹼性電池
2837,國際鹼性電池4號2入,40302,鹼性電池
2839,永備黑金鋼電池1號2入,40301,一般電池
2840,永備黑金鋼電池2號2入,40301,一般電池
2841,永備黑金鋼電池3號4入,40301,一般電池
2842,永備黑金鋼電池4號4入,40301,一般電池
2860,金頂超能量電池4號4入,40302,鹼性電池
2867,國際牌碳鋅3號電池12粒裝,40301,一般電池
2968,松井四插延長線,40202,延長線
2969,松井四插延長線,40202,延長線
3009,阿扁薄式平貼式三孔延長線,40202,延長線
3013,阿扁薄式6孔單切延長線,40202,延長線
3014,阿扁薄式6孔5切安全延長線,40202,延長線
16579,SONY CD-R/50片布丁筒,5220300,CD燒錄片
16672,群加 主機電源線,5100200,線材
16681,群加 內建硬碟排線-90CM,5100200,線材
16689,鍵盤延長線6公對6母 PS2,5100200,線材
16691,鍵盤延長線 6公對6母(3米),5100200,線材
16692,VGA顯示器線 1.8M,5100200,線材
16693,VGA顯示器延長線 1.8M,5100200,線材
16694,高級顯示器線15公15公1.8M,5100200,線材
16695,高級顯示器線15公15母1.8M,5100200,線材
16697,群加 高級顯示器線15公對公3M,5100200,線材
16773,RJ45膠套 20,5100201,網路線材
16775,群加 PJ45接頭 10入,5100201,網路線材
16778,群加 CAT5E 網路線-1M,5100201,網路線材
16779,群加 CAT5E 網路線-2M,5100201,網路線材
16780,群加 CAT5E 網路線-3M,5100201,網路線材
16781,群加 CAT5E 網路線-5M,5100201,網路線材
16782,群加 CAT5E 網路線-10M,5100201,網路線材
16783,群加 CAT5E 網路線-15M,5100201,網路線材
16784,群加 CAT5E 網路線-20M,5100201,網路線材
16785,群加 CAT5E 網路線-50M,5100201,網路線材
16805,群加 CAT5E 交錯式網路線-1M,5100201,網路線材
16806,群加 CAT5E 交錯式網路線-3M,5100201,網路線材
